<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Blayne Hartman
<CLIENT ID>=N2278
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=1ml valve loop
<LAB ID>=
<DESCRIPTION>=FID
<COLUMN>=6' Haysep D
<CARRIER>=N2@10psi
<TEMPERATURE>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN.tem
<EVENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1.evt
<COMPONENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1_FID_COMP.cpt
<SAMPLE>=No injection ECD noise
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>= 9-20-2021
<TIME>=20:22: 1
<RATE>=5Hz
<SIZE>=1950
<SAMP WEIGHT>=100.000000
<STD WEIGHT>=4.000000
<CONTROL FILENAME>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_TCD_off.CON
585,585
1218,1218
3064,3064
5455,5455
9871,9871
17449,17449
30175,30175
62650,62650
100003,100003
162572,162572
257306,257306
395564,395564
662054,662054
892743,892743
1181714,1181714
1472808,1472808
1737099,1737099
1963452,1963452
2092210,2092210
2223587,2223587
2319908,2319908
2385366,2385366
2413444,2413444
2421679,2421679
2423494,2423494
2412615,2412615
2391732,2391732
2353506,2353506
2323207,2323207
2284609,2284609
2242194,2242194
2196715,2196715
2139024,2139024
2096772,2096772
2045176,2045176
1992268,1992268
1938026,1938026
1872815,1872815
1825538,1825538
1768420,1768420
1710510,1710510
1651876,1651876
1581999,1581999
1531541,1531541
1470507,1470507
1408771,1408771
1346364,1346364
1272036,1272036
1218552,1218552
1153867,1153867
1088626,1088626
1022912,1022912
945573,945573
890384,890384
824392,824392
758945,758945
694542,694542
622985,622985
574185,574185
518071,518071
465811,465811
417709,417709
369846,369846
338699,338699
303806,303806
272716,272716
245068,245068
218801,218801
201829,201829
182875,182875
166090,166090
151222,151222
137054,137054
127879,127879
117611,117611
108509,108509
100463,100463
92870,92870
88040,88040
82724,82724
78168,78168
74395,74395
71361,71361
69711,69711
68181,68181
67389,67389
67363,67363
68776,68776
70371,70371
72790,72790
76030,76030
80078,80078
86334,86334
91350,91350
97806,97806
104912,104912
112555,112555
122338,122338
129463,129463
138057,138057
146656,146656
155082,155082
164237,164237
170239,170239
176916,176916
182728,182728
187545,187545
191010,191010
192504,192504
193472,193472
193164,193164
191560,191560
187352,187352
183498,183498
178256,178256
172036,172036
164933,164933
155344,155344
148197,148197
139457,139457
130460,130460
121336,121336
110722,110722
103341,103341
94682,94682
86350,86350
78400,78400
69998,69998
64395,64395
58004,58004
52129,52129
46761,46761
41458,41458
38023,38023
34166,34166
30722,30722
27663,27663
24769,24769
22926,22926
20881,20881
19080,19080
17518,17518
16062,16062
15141,15141
14121,14121
13250,13250
12500,12500
11865,11865
11503,11503
11156,11156
10958,10958
10936,10936
11327,11327
11854,11854
12747,12747
14104,14104
16056,16056
19859,19859
23479,23479
28773,28773
35684,35684
44614,44614
59854,59854
73326,73326
92043,92043
115008,115008
142857,142857
186152,186152
222111,222111
269806,269806
324575,324575
386373,386373
470594,470594
533731,533731
610622,610622
688425,688425
764699,764699
845859,845859
898490,898490
956964,956964
1008473,1008473
1052849,1052849
1091572,1091572
1114639,1114639
1138709,1138709
1157071,1157071
1170244,1170244
1176656,1176656
1178500,1178500
1178545,1178545
1175125,1175125
1168486,1168486
1155551,1155551
1144685,1144685
1130398,1130398
1113881,1113881
1095443,1095443
1070708,1070708
1052096,1052096
1028873,1028873
1004246,1004246
978335,978335
945815,945815
921906,921906
892589,892589
862364,862364
831119,831119
793198,793198
765559,765559
732061,732061
698003,698003
663381,663381
622626,622626
593549,593549
558834,558834
524439,524439
490587,490587
452581,452581
426335,426335
395662,395662
366307,366307
338323,338323
308567,308567
288512,288512
265464,265464
243972,243972
224013,224013
203586,203586
190012,190012
174581,174581
160445,160445
147520,147520
134645,134645
126156,126156
116539,116539
107829,107829
99900,99900
92095,92095
86966,86966
81164,81164
75908,75908
71139,71139
66393,66393
63278,63278
59731,59731
56497,56497
53555,53555
50555,50555
48574,48574
46304,46304
44215,44215
42317,42317
40341,40341
39026,39026
37492,37492
36090,36090
34781,34781
33410,33410
32480,32480
31400,31400
30394,30394
29444,29444
28445,28445
27766,27766
26976,26976
26227,26227
25501,25501
24730,24730
24206,24206
23598,23598
23014,23014
22463,22463
21867,21867
21453,21453
20963,20963
20501,20501
20045,20045
19563,19563
19219,19219
18827,18827
18451,18451
18095,18095
17690,17690
17410,17410
17080,17080
16768,16768
16467,16467
16134,16134
15899,15899
15627,15627
15352,15352
15090,15090
14805,14805
14604,14604
14374,14374
14136,14136
13916,13916
13664,13664
13493,13493
13289,13289
13093,13093
12898,12898
12674,12674
12523,12523
12349,12349
12177,12177
12007,12007
11812,11812
11681,11681
11525,11525
11366,11366
11212,11212
11038,11038
10922,10922
10782,10782
10647,10647
10509,10509
10361,10361
10258,10258
10136,10136
10014,10014
9898,9898
9759,9759
9664,9664
9547,9547
9440,9440
9328,9328
9205,9205
9119,9119
9019,9019
8924,8924
8825,8825
8711,8711
8630,8630
8536,8536
8450,8450
8362,8362
8262,8262
8188,8188
8099,8099
8018,8018
7934,7934
7844,7844
7777,7777
